Store_Name,Entity_Type,Category,District,Nearest Prking
Boots Pharmacy,Retail,Pharmacy,The Mall,"Entrance 12, 14"
By Reya,Retail,Apparel,The Mall,"Entrance 12, 14"
Calvin Klein Jeans,Retail,Apparel,The Mall,"Entrance 12, 14"
Caretti,Retail,Shoes & Bags,The Mall,"Entrance 12, 14"
Catchy,Retail,Jewellery & Accessories,The Mall,"Entrance 12, 14"
Centrepoint,Retail,Department Stores,The Mall,"Entrance 12, 14"
Charles & Keith,Retail,Shoes & Bags,The Mall,"Entrance 12, 14"
Chicas Kids,Retail,Apparel,The Mall,"Entrance 12, 14"
Chicas Women,Retail,Apparel,The Mall,"Entrance 12, 14"
Claire's,Retail,Jewellery & Accessories,The Mall,"Entrance 12, 14"
Code 8,Retail,Apparel,The Mall,"Entrance 12, 14"
Cole Haan,Retail,Shoes & Bags,The Mall,"Entrance 12, 14"
Creative Style,Retail,Apparel,The Mall,"Entrance 12, 14"
Crocs,Retail,Shoes & Bags,The Mall,"Entrance 12, 14"
Culti Milano,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Czar,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
DDRAPED,Retail,Apparel,The Mall,"Entrance 12, 14"
Dar Al Sabaek,Retail,Jewellery & Accessories,The Mall,"Entrance 12, 14"
Dar Al Teeb,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Darusha,Retail,Apparel,The Mall,"Entrance 12, 14"
Dkhoon AlEmaratia,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Dune,Retail,Jewellery & Accessories,The Mall,"Entrance 12, 14"
Eter,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Eye Boutique,Retail,Opticals,The Mall,"Entrance 12, 14"
FT MODA,Retail,Apparel,The Mall,"Entrance 12, 14"
Faces,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Far Designs,Retail,Gifts & Antiques,The Mall,"Entrance 12, 14"
Flormar,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Gelco,Retail,Apparel,The Mall,"Entrance 12, 14"
Gerry Weber,Retail,Apparel,The Mall,"Entrance 12, 14"
Gizele,Retail,Specialist Shop,The Mall,"Entrance 12, 14"
Home Centre,Retail,Home & Furniture,The Mall,"Entrance 12, 14"
Hunkemoller,Retail,Apparel,The Mall,"Entrance 12, 14"
Ipekyol,Retail,Apparel,The Mall,"Entrance 12, 14"
JF Scarves,Retail,Apparel,The Mall,"Entrance 12, 14"
Jakh,Retail,Apparel,The Mall,"Entrance 12, 14"
Kevingston,Retail,Apparel,The Mall,"Entrance 12, 14"
Kuwait Air Ways,Retail,Travel & Tourism,The Mall,"Entrance 12, 14"
Kybun,Retail,Shoes & Bags,The Mall,"Entrance 12, 14"
La Senza,Retail,Apparel,The Mall,"Entrance 12, 14"
La Vie En Rose,Retail,Apparel,The Mall,"Entrance 12, 14"
Lamsheen,Retail,Apparel,The Mall,"Entrance 12, 14"
Lialy Line,Retail,Apparel,The Mall,"Entrance 12, 14"
List Roma,Retail,Apparel,The Mall,"Entrance 12, 14"
Lush,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Maalem Perfumes,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Manal Smaoui,Retail,Apparel,The Mall,"Entrance 12, 14"
Marie France,Retail,Apparel,The Mall,"Entrance 12, 14"
Milano,Retail,"Apparel, Shoes & Bags",The Mall,"Entrance 12, 14"
Mubkhar,Retail,Beauty & Cosmetics,The Mall,"Entrance 12, 14"
Much More,Retail,Apparel,The Mall,"Entrance 12, 14"
Nass Boutique,Retail,Apparel,The Mall,"Entrance 12, 14"
Next Kids,Retail,Apparel,The Mall,"Entrance 12, 14"
Noble,Retail,Apparel,The Mall,"Entrance 12, 14"
Noma,Retail,Apparel,The Mall,"Entrance 12, 14"
damas,Retail,Jewellery & Accessories,The Mall,"Entrance 12, 14"
Bens Cookies,Dining,Chocolate & Confectionery,The Mall,"Entrance 12, 14"
Chocoville,Dining,Café & Sweets,The Mall,"Entrance 12, 14"
Damlooj Lounge,Dining,Café & Sweets,The Mall,"Entrance 12, 14"
Frost Gelato,Dining,Café & Sweets,The Mall,"Entrance 12, 14"
Joy Café,Dining,Café & Sweets,The Mall,"Entrance 12, 14"
Joy Tea,Dining,Café & Sweets,The Mall,"Entrance 12, 14"
Matbakhi,Dining,Restaurants,The Mall,"Entrance 12, 14"
Premier’s,Dining,Chocolate & Confectionery,The Mall,"Entrance 12, 14"
Raising Canes,Dining,Fast Food,The Mall,"Entrance 12, 14"
Simit Sarayi,Dining,Restaurants,The Mall,"Entrance 12, 14"
ABREEZ,Retail,Apparel,The Souk,Entrance 12
AL Saqrain Center,Retail,Gifts & Antiques,The Souk,Entrance 12
ALKhulooj Golden,Retail,Apparel,The Souk,Entrance 12
Abayat Algattan,Retail,Apparel,The Souk,Entrance 12
Abayti Bril,Retail,Apparel,The Souk,Entrance 12
Abdul Samad Al Qurashi,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Ada Treasures,Retail,Apparel,The Souk,Entrance 12
Afghan,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Al Dor Al Manthor,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Al Dughaishem,Retail,Apparel,The Souk,Entrance 12
Al Haramain Perfumes,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Al Helwa,Retail,Apparel,The Souk,Entrance 12
Al Jazeera Express,Retail,Apparel,The Souk,Entrance 12
Al Maqtaa,Retail,Apparel,The Souk,Entrance 12
Al Rasasi Perfumes,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Al Sharqiaa,Retail,Apparel,The Souk,Entrance 12
Al kandora,Retail,Apparel,The Souk,Entrance 12
Al-Saeed,Retail,Apparel,The Souk,Entrance 12
Al-Shaya Perfumes,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Al-abaya Alislamiya,Retail,Apparel,The Souk,Entrance 12
Albdulmuhsin Perfumes,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Alhamra Perfumes,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Alia Touch,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Almohra Style,Retail,Apparel,The Souk,Entrance 12
Amal Al Kuwait,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Amal Al Kuwait,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Amber Oud,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Ambrose,Retail,Apparel,The Souk,Entrance 12
Arabian Oud,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Atyab Al Saeed,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Atyab AlMarshoud,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Azhar Alsaboun,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Bagalat Dukan Al Fareej,Retail,Supermarket & Grocery,The Souk,Entrance 12
Bait Hanayen,Retail,Apparel,The Souk,Entrance 12
Balqees Line,Retail,Apparel,The Souk,Entrance 12
Bank Al-Kahraman,Retail,Gifts & Antiques,The Souk,Entrance 12
Banootha,Retail,Jewellery & Accessories,The Souk,Entrance 12
Basma,Retail,Apparel,The Souk,Entrance 12
Bayt Al Saboun Al Loubnani,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Be Organic,Retail,Specialist Shop,The Souk,Entrance 12
Bec,Retail,Banks & Financial Services,The Souk,Entrance 12
Bedoon Essm,Retail,Apparel,The Souk,Entrance 12
Black White,Retail,Apparel,The Souk,Entrance 12
Chic,Retail,Apparel,The Souk,Entrance 12
Chmagh Al Jazzera,Retail,Apparel,The Souk,Entrance 12
Crystal Touch,Retail,Jewellery & Accessories,The Souk,Entrance 12
D&P Perfumum,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Dar Dalia,Retail,Apparel,The Souk,Entrance 12
Dar Nouryah,Retail,Apparel,The Souk,Entrance 12
Daraat Sara,Retail,Apparel,The Souk,Entrance 12
Diva Abaya,Retail,Apparel,The Souk,Entrance 12
Dukhan Al-Turath,Retail,Gifts & Antiques,The Souk,Entrance 12
Elngm El Malky,Retail,Apparel,The Souk,Entrance 12
Etarat Al Hekma,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Fabrics Center,Retail,Apparel,The Souk,Entrance 12
Fils,Retail,Gifts & Antiques,The Souk,Entrance 12
Foot Herbal Spa,Retail,Spa & Salon,The Souk,Entrance 12
Francesco Ferri,Retail,Apparel,The Souk,Entrance 12
Glory,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Gulf Amateurs,Retail,Gifts & Antiques,The Souk,Entrance 12
Hammam Sharki,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Hena,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Jouri,Retail,Apparel,The Souk,Entrance 12
Jumeirah Oud,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Just Lady,Retail,Apparel,The Souk,Entrance 12
Kahrahman Palace,Retail,Jewellery & Accessories,The Souk,Entrance 12
Kakouli,Retail,Apparel,The Souk,Entrance 12
Kashkha,Retail,Apparel,The Souk,Entrance 12
Kayan,Retail,Apparel,The Souk,Entrance 12
Kayat Agal (Egal& Gafia),Retail,Apparel,The Souk,Entrance 12
Khinnah Perfume,Retail,Beauty & Cosmetics,The Souk,Entrance 12
Khunji,Retail,Apparel,The Souk,Entrance 12
Kondura,Retail,Apparel,The Souk,Entrance 12
Lamsat Harayer,Retail,Apparel,The Souk,Entrance 12
Lamsat Harayer,Retail,Apparel,The Souk,Entrance 12
Lean,Retail,Apparel,The Souk,Entrance 12
Maali Alhmaidi Boutique,Retail,Apparel,The Souk,Entrance 12
Masa,Retail,Jewellery & Accessories,The Souk,Entrance 12
Masque,Retail,Apparel,The Souk,Entrance 12
bait Al Nokhada,Retail,Apparel,The Souk,Entrance 12
3azaiim,Dining,Restaurants,The Souk,Entrance 12
3azaiim,Dining,Restaurants,The Souk,Entrance 12
Agnii,Dining,Restaurants,The Souk,Entrance 12
Akelna Mahyouf,Dining,Restaurants,The Souk,Entrance 12
Al Dhahia Juice,Dining,Café & Sweets,The Souk,Entrance 12
Al Shamali,Dining,Chocolate & Confectionery,The Souk,Entrance 12
Al Sout Café,Dining,Café & Sweets,The Souk,Entrance 12
Al Watan Sweets,Dining,Chocolate & Confectionery,The Souk,Entrance 12
AlDama,Dining,Café & Sweets,The Souk,Entrance 12
Alsiteenat,Dining,Restaurants,The Souk,Entrance 12
Amiti Noura,Dining,Restaurants,The Souk,Entrance 12
Bait Jafra Restaurant,Dining,Restaurants,The Souk,Entrance 12
Baraka,Dining,Chocolate & Confectionery,The Souk,Entrance 12
Bon Alameed,Dining,Roastery,The Souk,Entrance 12
Botamba Potatos,Dining,Fast Food,The Souk,Entrance 12
Byalah Café,Dining,Café & Sweets,The Souk,Entrance 12
Byalah Café,Dining,Café & Sweets,The Souk,Entrance 12
Café Bazza,Dining,Restaurants,The Souk,Entrance 12
Chiquita Fruit Bar,Dining,Café & Sweets,The Souk,Entrance 12
Copper Chimney,Dining,Restaurants,The Souk,Entrance 12
Corn Dogs,Dining,Fast Food,The Souk,Entrance 12
Emergan Sutis,Dining,Restaurants,The Souk,Entrance 12
Fresh Monesh,Dining,Café & Sweets,The Souk,Entrance 12
Haleeb o Heil,Dining,Café & Sweets,The Souk,Entrance 12
Halwayat Oman,Dining,Café & Sweets,The Souk,Entrance 12
Healthy Snack Co.,Dining,Restaurants,The Souk,Entrance 12
Healthy Snack Gluten Free,Dining,Café & Sweets,The Souk,Entrance 12
International Mill,Dining,Roastery,The Souk,Entrance 12
Karak Station,Dining,Restaurants,The Souk,Entrance 12
Kashounat Al-Bait,Dining,Restaurants,The Souk,Entrance 12
Kateh,Dining,Restaurants,The Souk,Entrance 12
Khaneen,Dining,Restaurants,The Souk,Entrance 12
Khobz Eddar,Dining,Café & Sweets,The Souk,Entrance 12
Konafa habiba,Dining,Café & Sweets,The Souk,Entrance 12
Leila Restaurant,Dining,Restaurants,The Souk,Entrance 12
Nagwa,Dining,Chocolate & Confectionery,The Souk,Entrance 12
Nuts & More,Dining,Roastery,The Souk,Entrance 12
Om Kalthum Kawkab Al Sharq,Dining,Café & Sweets,The Souk,Entrance 12
Sarouja Twenty,Dining,Café & Sweets,The Souk,Entrance 12
Swaikhat Avenues,Dining,Restaurants,The Souk,Entrance 12
Tawalail Koshary,Dining,Fast Food,The Souk,Entrance 12
Teka Kalel,Dining,Restaurants,The Souk,Entrance 12
Tmreya,Dining,Café & Sweets,The Souk,Entrance 12
Villa Babak,Dining,Restaurants,The Souk,Entrance 12
Yousef‘s Kurtos,Dining,Café & Sweets,The Souk,Entrance 12
Zaki,Dining,Restaurants,The Souk,Entrance 12
Zwarah,Dining,Restaurants,The Souk,Entrance 12
